Date,MSCI Europe
11/2015,373953.9744037135
12/2015,354023.21798466356
01/2016,329688.194211007
02/2016,324733.5386788598
03/2016,330051.6675466813
04/2016,337580.88756980683
05/2016,343088.4233867362
06/2016,329362.5092138825
07/2016,342812.36986692145
08/2016,343237.0648374734
09/2016,345327.5922298386
10/2016,340642.4925940967
11/2016,342978.0096017527
12/2016,364171.79348326824
01/2017,364339.4889471248
02/2017,374188.71433009644
03/2017,385793.04901693773
04/2017,390681.11965725844
05/2017,399002.8716191609
06/2017,388039.90995244
07/2017,388889.8595844646
08/2017,385891.2555615263
09/2017,399266.1072136326
10/2017,406934.2088325835
11/2017,400566.9726990214
12/2017,401724.3803035773
01/2018,407663.97681982734
02/2018,391335.8610171007
03/2018,383269.4216848204
04/2018,401766.1311114357
05/2018,401197.0893478229
06/2018,399909.8664693603
07/2018,410475.28328322264
08/2018,401921.49477616494
09/2018,405966.32553568284
10/2018,383532.3015632374
11/2018,378587.8340660803
12/2018,358232.2150996377
01/2019,380569.7683518468
02/2019,395832.8400361787
03/2019,404663.52490353474
04/2019,419767.2899729635
05/2019,399152.9922202111
06/2019,417393.9749434988
07/2019,417713.9472075356
08/2019,411450.8568960941
09/2019,428354.2946605568
10/2019,431600.30315338756
11/2019,444909.6000950377
12/2019,451918.6995933174
01/2020,447810.0699829479
02/2020,409044.5649226475
03/2020,350639.67639214534
04/2020,374168.5637272849
05/2020,382074.49129572674
06/2020,395409.958615142
07/2020,388077.91914421046
08/2020,400931.647372543
09/2020,395252.2218579561
10/2020,373280.2161864225
11/2020,426505.9311647472
12/2020,435992.36003088974
01/2021,434458.07546998764
02/2021,445630.3925939901
03/2021,474912.7751987793
04/2021,481823.84597622935
05/2021,497011.99220936606
06/2021,503327.7306825901
07/2021,512330.7198840394
08/2021,522578.2862244076
09/2021,508567.4480042375
10/2021,528463.2672997796
11/2021,513645.92259185767
12/2021,549356.5927576356
01/2022,532207.5357424291
02/2022,515191.8774732755
03/2022,519201.0385162375
04/2022,515386.45993679954
05/2022,510856.7737128967
06/2022,474477.8800871376
07/2022,507191.0150159256
08/2022,485010.8488181311
09/2022,454280.4267730278
10/2022,478687.6844707318
11/2022,509287.2773266569
12/2022,495502.0424434651
01/2023,530184.0430332227
02/2023,537514.3818829919
03/2023,537302.7180414789
04/2023,554216.7637209904
05/2023,536254.7630401249
06/2023,552473.2003887943
07/2023,561304.4256164561
08/2023,546725.1005975762
09/2023,538578.9653194787
10/2023,517246.54031064943
11/2023,552074.7472727961
12/2023,573411.3546886403
01/2024,583997.6678264764
02/2024,593691.5307469297
03/2024,616738.4818883105
04/2024,610309.0102516128
05/2024,631969.3498890813
06/2024,626254.1295574014
07/2024,632433.9196373171
08/2024,642008.4204669876
09/2024,638212.3914225396
10/2024,617940.2150389091
11/2024,625937.5520031693
12/2024,620805.8462953281
01/2025,663294.9087351369
02/2025,686473.4098285136
03/2025,658839.5929105022
04/2025,653912.2134790033
05/2025,685784.6811525056
06/2025,677143.5813364655
07/2025,681010.5735276407
08/2025,691641.6235691425
09/2025,700374.7902030728
10/2025,716974.6726420711
11/2025,726727.3999431543
12/2025,743250.2441961827
01/2026,765308.8947553982
02/2026,797982.7715460161
03/2026,738142.2872650895
04/2026,776726.410273889
